2025-06-06 19:24:11 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:11 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:11 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:12 | Ether | 192.168.1.2 -> 91.108.56.103
2025-06-06 19:24:12 | Ether | 91.108.56.103 -> 192.168.1.2
2025-06-06 19:24:12 | Ether | 91.108.56.103 -> 192.168.1.2
2025-06-06 19:24:12 | Ether | 192.168.1.2 -> 91.108.56.103
2025-06-06 19:24:12 | Ether | 91.108.56.103 -> 192.168.1.2
2025-06-06 19:24:13 | Ether | 192.168.1.2 -> 74.125.68.188
2025-06-06 19:24:13 | Ether | 74.125.68.188 -> 192.168.1.2
2025-06-06 19:24:13 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:14 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:14 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:14 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:17 | Ether | 192.168.1.2 -> 13.218.9.62
2025-06-06 19:24:17 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:17 | Ether | 13.218.9.62 -> 192.168.1.2
2025-06-06 19:24:17 | Ether | 13.218.9.62 -> 192.168.1.2
2025-06-06 19:24:17 | Ether | 192.168.1.2 -> 13.218.9.62
2025-06-06 19:24:17 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:17 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:17 | Ether | 192.168.1.2 -> 18.161.229.26
2025-06-06 19:24:17 | Ether | 18.161.229.26 -> 192.168.1.2
2025-06-06 19:24:17 | Ether | 192.168.1.2 -> 18.161.229.26
2025-06-06 19:24:19 | Ether | 192.168.1.2 -> 140.82.113.25
2025-06-06 19:24:19 | Ether | 140.82.113.25 -> 192.168.1.2
2025-06-06 19:24:20 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:20 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:20 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:21 | Ether | 192.168.1.2 -> 4.224.93.21
2025-06-06 19:24:21 | Ether | 4.224.93.21 -> 192.168.1.2
2025-06-06 19:24:21 | Ether | 192.168.1.2 -> 4.224.93.21
2025-06-06 19:24:23 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:23 | Ether | 192.168.1.2 -> 20.44.229.112
2025-06-06 19:24:23 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:23 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:23 | Ether | 20.44.229.112 -> 192.168.1.2
2025-06-06 19:24:23 | Ether | 192.168.1.2 -> 20.44.229.112
2025-06-06 19:24:23 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:24 | Ether | 149.154.167.99 -> 192.168.1.2
